ID,Source,Sample,Scan  #,Side,Treatment,Region,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Area size,Analyst
70,E3,E3.1.1B,10,Dorsal ,Heated,South Africa,54.72,-0.48,2.48,139.15,159.28,298.43,45.71,46128184.78,MM
71,E3,E3.1.1B,11,Ventral ,Heated,South Africa,42.04,0.87,4.5,195.7,127.43,323.13,32.82,49285142.93,MM
72,E3,E3.1.1B,12,Ventral ,Heated,South Africa,35.95,1.61,7.7,198.64,123.37,322.01,25.47,47829049.19,MM
73,E3,E3.1.1B,13,Ventral ,Heated,South Africa,51.65,-0.82,3.69,110.58,188.75,299.33,39.89,48477246.16,MM
74,E3,E3.1.1B,14,Ventral ,Heated,South Africa,39.34,0.72,4.31,168.85,146.86,315.71,29.73,48574355.93,MM
75,E3,E3.1.1B,15,Ventral ,Heated,South Africa,39.4,-0.29,3.41,127.53,166.54,294.07,30.33,49327709.07,MM
76,E3,E3.1.1B,16,Ventral ,Heated,South Africa,41.48,0.97,3.29,151.11,101.35,252.46,33.66,52677535.45,MM
77,E3,E3.1.1B,17,Ventral ,Heated,South Africa,64.56,0.43,4.11,226.09,286.82,512.91,48.25,51624990.85,MM
78,E3,E3.1.1B,18,Ventral ,Heated,South Africa,77.9,1,4.06,329.87,169.06,498.93,59.44,53967971.35,MM
79,E3,E3.1.1B,19,Ventral ,Heated,South Africa,64.75,0.77,2.77,213.02,126.1,339.12,53.24,51859626.73,MM
80,E3,E3.1.1B,20,Ventral ,Heated,South Africa,173.67,-1.04,4.32,372.76,649.55,1022.31,130.1,52439029.93,MM
81,E3,E3.1.6C,1,Dorsal,Heated,South Africa,63.65,0.77,3.55,248.35,160.6,408.95,49.62,55601946.11,MM
82,E3,E3.1.6C,2,Dorsal,Heated,South Africa,44.72,-0.38,2.95,128.25,196.21,324.46,36.17,56976408.67,MM
83,E3,E3.1.6C,3,Dorsal,Heated,South Africa,182.06,1.97,6.42,737.13,288.82,1025.95,125.25,55485672.36,MM
84,E3,E3.1.6C,4,Dorsal,Heated,South Africa,42.47,0.33,2.93,122.9,128.88,251.78,33.66,33547267.85,MM
85,E3,E3.1.6C,5,Dorsal,Heated,South Africa,26.36,-0.02,4.17,124.89,136.07,260.96,20.04,56938694.95,MM
86,E3,E3.1.6C,6,Dorsal,Heated,South Africa,30.13,0.64,3.43,127.95,115.01,242.96,24.07,31691494.62,MM
87,E3,E3.1.6C,7,Dorsal,Heated,South Africa,28.28,0.42,3.27,118.53,109.54,228.07,22.74,32117881.6,MM
88,E3,E3.1.6C,8,Dorsal,Heated,South Africa,39.01,-1.18,4.69,104.52,185.16,289.68,29.39,56445222.53,MM
89,E3,E3.1.6C,9,Dorsal,Heated,South Africa,57.53,-0.89,4.11,159.55,262.14,421.69,44.18,54756765.57,MM
90,E3,E3.1.6C,10,Dorsal,Heated,South Africa,43.64,-0.02,2.48,135.4,134.13,269.53,35.46,53287035.92,MM
91,E3,E3.1.6C,11,Ventral,Heated,South Africa,27.89,0.89,6.73,157.92,122.46,280.38,19.37,47011816.12,MM
92,E3,E3.1.6C,12,Ventral,Heated,South Africa,99.99,0.68,2.74,394.42,200.91,595.33,83.66,46302196.15,MM
93,E3,E3.1.6C,13,Ventral,Heated,South Africa,92.46,1.44,6.07,455.88,210.99,666.87,66.04,45798834.63,MM
94,E3,E3.1.6C,14,Ventral,Heated,South Africa,64.31,-0.69,3.34,116.9,340.26,457.16,52.52,46930860.6,MM
95,E3,E3.1.6C,15,Ventral,Heated,South Africa,107.73,-1.85,6.55,224.19,496.38,720.57,77.03,45956753.18,MM
96,E3,E3.1.6C,16,Ventral,Heated,South Africa,74.24,-1.13,4.74,158.1,373.83,531.93,55.2,46698150.57,MM
97,E3,E3.1.6C,17,Ventral,Heated,South Africa,62.69,-1.64,6.01,138.76,315.29,454.05,46.12,46855032.42,MM
98,E3,E3.1.6C,18,Ventral,Heated,South Africa,54.2,-1.88,7.28,112.37,281.12,393.49,37.51,47431084.9,MM
99,E3,E3.1.6C,19,Ventral,Heated,South Africa,43.75,-0.35,2.4,113.51,167.01,280.52,36.28,47667943.33,MM
100,E3,E3.1.6C,20,Ventral,Heated,South Africa,100.13,0.85,3.67,355.9,213.66,569.56,76.97,46837403.18,MM
101,D9,D9.1.10B,1,Dorsal,Heated,South Africa,79.26,0.73,2.81,251.53,157.51,409.04,65.06,28353619.49,MM
102,D9,D9.1.10B,2,Dorsal,Heated,South Africa,70.73,-0.48,3.77,238.18,279.02,517.2,53.36,29239569.68,MM
103,D9,D9.1.10B,3,Dorsal,Heated,South Africa,48.96,-0.4,3.19,147.84,198.95,346.79,38.86,30339259.12,MM
104,D9,D9.1.10B,4,Dorsal,Heated,South Africa,53.48,0.12,2.51,160.1,157.19,317.29,43.96,28925525.72,MM
105,D9,D9.1.10B,5,Dorsal,Heated,South Africa,80.76,0.65,3.33,329.63,197.49,527.12,64.78,25279444.07,MM
106,D9,D9.1.10B,6,Dorsal,Heated,South Africa,98.57,-0.25,2.38,230.25,289.57,519.82,82,27328300.76,MM
107,D9,D9.1.10B,7,Dorsal,Heated,South Africa,52.49,-0.4,4.85,219.42,257.41,476.83,39.04,29059034.31,MM
108,D9,D9.1.10B,8,Dorsal,Heated,South Africa,113.05,-0.69,3.43,286.11,373.92,660.03,85.4,29501008.24,MM
109,D9,D9.1.10B,9,Dorsal,Heated,South Africa,65.62,-1.08,5.87,219.79,322.24,542.03,47.51,29111634.63,MM
110,D9,D9.1.10B,10,Dorsal,Heated,South Africa,131.83,-1.38,4.86,238.03,567.7,805.73,99.82,30466429.59,MM
111,D9,D9.1.10B,11,Ventral,Heated,South Africa,38.73,0.36,3.72,172.98,149.85,322.83,29.8,29031749.84,MM
112,D9,D9.1.10B,12,Ventral,Heated,South Africa,93.61,0.8,4.07,395.76,290.34,686.1,70.39,26464453.63,MM
113,D9,D9.1.10B,13,Ventral,Heated,South Africa,84.58,0.25,5.17,324.91,504.19,829.1,62.86,26167260.09,MM
114,D9,D9.1.10B,14,Ventral,Heated,South Africa,46.85,-0.13,3.2,152.69,248.17,400.86,37.34,26809999.39,MM
115,D9,D9.1.10B,15,Ventral,Heated,South Africa,83.14,0.17,2.96,335.85,268.71,604.56,67.8,26148989.86,MM
116,D9,D9.1.10B,16,Ventral,Heated,South Africa,45.08,-0.68,3.4,142.49,171.44,313.93,35.59,26412682.2,MM
117,D9,D9.1.10B,17,Ventral,Heated,South Africa,87.48,-0.03,2.96,218.57,353.79,572.36,70.87,25434931.03,MM
118,D9,D9.1.10B,18,Ventral,Heated,South Africa,67.59,-0.8,3.57,134.22,295.69,429.91,53.86,26597180.5,MM
119,D9,D9.1.10B,19,Ventral,Heated,South Africa,81.81,-0.32,2.39,184.95,269.83,454.78,66.84,26344678.24,MM
