ID,Source,Sample,Scan  #,Side,Treatment,Region,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Area size,Analyst
197,E3,E3.1.6B.10,17,Ventral,Unheated,South Africa,179.5,0.17,2.73,530.28,491.86,1022.14,143.15,119945238.3,MM
198,E3,E3.1.6B.10,18,Ventral,Unheated,South Africa,106.77,-0.03,3.3,425.87,331.31,757.18,83.32,116120078.4,MM
199,E3,E3.1.6B.10,19,Ventral,Unheated,South Africa,129.68,0.47,2.34,351.81,268.74,620.55,108.31,48449324.04,MM
200,E3,E3.1.6B.10,20,Ventral,Unheated,South Africa,268.62,-0.2,2.8,703.39,781.4,1484.79,217,103859918.4,MM
201,E3,E3.1.6B.3,1,Dorsal,Unheated,South Africa,192.35,-0.07,2.08,414.69,422.59,837.28,160.45,47176265,JM
202,E3,E3.1.6B.3,2,Dorsal,Unheated,South Africa,99.46,-0.65,4.04,234.36,744.13,978.49,77.44,47396273.89,JM
203,E3,E3.1.6B.3,3,Dorsal,Unheated,South Africa,136.94,0.19,2.39,362.93,292.88,655.81,111.13,45513157.98,JM
204,E3,E3.1.6B.3,4,Dorsal,Unheated,South Africa,150.19,-1.22,4.22,270.91,550.76,821.67,111.39,46159181.93,JM
205,E3,E3.1.6B.3,5,Dorsal,Unheated,South Africa,86.3,-0.23,2.64,245.44,244.3,489.74,69.19,45242246.69,JM
206,E3,E3.1.6B.3,6,Dorsal,Unheated,South Africa,115.13,-0.08,2.45,307.45,364.98,672.43,95.51,45562219.2,JM
207,E3,E3.1.6B.3,7,Dorsal,Unheated,South Africa,57.07,0.9,5.32,291.86,171.38,463.24,42.68,46051726.18,JM
208,E3,E3.1.6B.3,8,Dorsal,Unheated,South Africa,109.17,0.2,2.59,284.1,279.01,563.11,87.49,46340137.41,JM
209,E3,E3.1.6B.3,9,Dorsal,Unheated,South Africa,109.6,-0.59,4.28,268.5,462.16,730.66,86.6,48744628.1,JM
210,E3,E3.1.6B.3,10,Dorsal,Unheated,South Africa,83.25,-0.12,3.04,211.2,271.46,482.66,65.08,48339350.09,JM
211,E3,E3.1.6B.3,11,Ventral,Unheated,South Africa,110.64,0.02,2.22,246.14,340.03,586.17,93.56,43732198.83,JM
212,E3,E3.1.6B.3,12,Ventral,Unheated,South Africa,117.19,0.1,2.38,280.86,250.94,531.8,94.61,46361470.6,JM
213,E3,E3.1.6B.3,13,Ventral,Unheated,South Africa,70.18,0.95,5.03,302.99,189.41,492.4,50.18,45793037.49,JM
214,E3,E3.1.6B.3,14,Ventral,Unheated,South Africa,107.85,0.31,2.88,383.3,311.88,695.18,85.9,45394821.15,JM
215,E3,E3.1.6B.3,15,Ventral,Unheated,South Africa,110.63,0.34,2.43,299.5,282.13,581.63,90.62,46217596.91,JM
216,E3,E3.1.6B.3,16,Ventral,Unheated,South Africa,99.68,-0.04,2.74,288.86,318.13,606.99,81.15,45951095.92,JM
217,E3,E3.1.6B.3,17,Ventral,Unheated,South Africa,105.94,-1.34,4.55,207.88,441.9,649.78,79.58,46428102.37,JM
218,E3,E3.1.6B.3,18,Ventral,Unheated,South Africa,193.9,-0.2,2.44,572.21,522.11,1094.32,159.61,44142475.8,JM
219,E3,E3.1.6B.3,19,Ventral,Unheated,South Africa,134.14,1.22,3.95,445.24,264.09,709.33,101.12,46551171.73,JM
220,E3,E3.1.6B.3,20,Ventral,Unheated,South Africa,139.91,-0.61,2.96,381.42,498.96,880.38,113.13,45584180.6,JM
221,E3,E3.1.6B.4,1,Dorsal,Unheated,South Africa,139.21,1.21,4.8,616.34,221.61,837.95,109.11,47366493.3,MM
222,E3,E3.1.6B.4,2,Dorsal,Unheated,South Africa,111,0.44,2.45,354.95,243.95,598.9,91.46,47834570.53,MM
223,E3,E3.1.6B.4,3,Dorsal,Unheated,South Africa,127.92,1.71,6.52,661.9,208.16,870.06,96.59,46384777.59,MM
224,E3,E3.1.6B.4,4,Dorsal,Unheated,South Africa,54.83,0.31,4.08,244.66,228.72,473.38,41.83,47397379.15,MM
225,E3,E3.1.6B.4,5,Dorsal,Unheated,South Africa,130.31,0.55,2.77,425.94,269.46,695.4,106.41,46962582.5,MM
226,E3,E3.1.6B.4,6,Dorsal,Unheated,South Africa,144.75,-0.14,3.2,483.06,388.76,871.82,111.32,47834570.53,MM
227,E3,E3.1.6B.4,7,Dorsal,Unheated,South Africa,99.34,0.14,2.8,293.92,281.92,575.84,80.04,48116718.62,MM
228,E3,E3.1.6B.4,8,Dorsal,Unheated,South Africa,67.75,0.27,4.24,370.19,256.21,626.4,52,47803439.07,MM
229,E3,E3.1.6B.4,9,Dorsal,Unheated,South Africa,124.47,-1.11,4.22,256.28,472.71,728.99,94.46,47756526.96,MM
230,E3,E3.1.6B.4,10,Dorsal,Unheated,South Africa,126.35,1.23,4.81,521.25,288.27,809.52,90.9,47554755.77,MM
231,E3,E3.1.6B.4,11,Ventral,Unheated,South Africa,130.76,-0.56,3.41,296.12,440.79,736.91,100.17,46521891.13,MM
232,E3,E3.1.6B.4,12,Ventral,Unheated,South Africa,149.23,-0.27,3.53,373.65,587.78,961.43,118.06,47571396.06,MM
233,E3,E3.1.6B.4,13,Ventral,Unheated,South Africa,172.01,-0.13,3.24,539.15,543.68,1082.83,134.59,44711538.1,MM
234,E3,E3.1.6B.4,14,Ventral,Unheated,South Africa,196.4,-0.23,2.45,496.87,518.66,1015.53,160.23,47278256.78,MM
235,E3,E3.1.6B.4,15,Ventral,Unheated,South Africa,92.86,0.27,4.94,467.12,332.36,799.48,66.78,43803137.92,MM
